id_horario,id_clase,id_asignatura,es_hti,dia,periodo
976,2,114,0,Viernes,3
977,2,114,0,Viernes,4
978,3,114,0,Viernes,5
979,3,114,0,Viernes,6
980,1,114,0,Viernes,7
981,27,78,0,Lunes,1
982,5,78,0,Lunes,2
983,27,78,0,Lunes,2
984,2,78,0,Lunes,3
985,3,78,0,Lunes,3
986,2,78,0,Lunes,4
987,3,78,0,Lunes,4
988,4,78,0,Lunes,5
989,26,78,0,Lunes,5
990,4,78,0,Lunes,6
991,26,78,0,Lunes,6
992,1,78,0,Lunes,8
993,1,78,0,Lunes,9
994,3,78,0,Martes,1
995,3,78,0,Martes,2
996,4,78,0,Martes,5
997,4,78,0,Martes,6
998,27,78,0,Miércoles,2
999,27,78,0,Miércoles,3
1000,2,78,0,Miércoles,4
1001,2,78,0,Miércoles,5
1002,1,78,0,Miércoles,6
1003,1,78,0,Miércoles,7
1004,26,78,0,Miércoles,9
1005,5,78,0,Jueves,2
1006,5,78,0,Jueves,3
1007,26,78,0,Jueves,9
1008,5,78,0,Viernes,1
1009,26,78,0,Viernes,1
1010,5,78,0,Viernes,2
1011,26,78,0,Viernes,2
1012,3,78,0,Viernes,3
1013,4,78,0,Viernes,3
1014,27,78,0,Viernes,3
1015,3,78,0,Viernes,4
1016,27,78,0,Viernes,4
1017,1,78,0,Viernes,5
1018,1,78,0,Viernes,6
1019,2,78,0,Viernes,7
1020,2,78,0,Viernes,8
